Polarity,Text
positive,طق لك كامري و ريح رأسك جوده و قطع متوفرة و صيانة سهلة وسعر معقول.
positive,انصحك بالأكورد اقتصادية جدآ.
positive,معي سيفيك 17 وأشوفه ما شاء الله توفر بالبنزين.
neutral,المازدا أنسب سيارة عندهم المازدا 6، عملية وممتازة لكن ومواصفاتها حلوة مقارنة بالسعر ان كانه على خبري ب 68، لكن من تجربة بسفر أشوف مقاعدها قاسية شوي وغير مريحة بموديل 2014 مدري عاد كان الجديد اختلف.
neutral,هوندا اكورد سيارة ممتازة من كل النواحي لكن أسعارها غالية و لا انصحك تاخذ مستعمل بمبلغك هذا يجيب لك جديد غيرها.
neutral,الالتيما من افضل السيارات بالصرفية بفئتها وأشوفها مريحة ونفس الشي للإكس تريل اللي نفس القير و المكينة بس مرتفع يعتبر جيب صغير.
neutral,الكامري غنية التعريف صبورة وتكرف وتكييفها ممتاز لكن ما فيها مواصفات وغالية.
negative,الايسوزو الديزل صيانته مكلفة اذا احتجت صيانة.
positive,السيارة جميلة جدا ومواصفاتها جبارة واتوقع انها سبقت الوقت بمواصفاتها لدخولها للسوق.
neutral,"كثير منهم جربها وأثنى عليها, لكن مشكلة الوكلاء قلة اهتمام بصيانتها وغيره."
neutral,الرساوة راسية ومريحة صرف البنزين من بعد 160 تصرف داخل المدينه وسرعات أقل من 140 اقتصادية.
neutral,ارتفاع قطع الغيار و لا توجد الا عند الوكيل ودفع هواء المكيف ضعيف شوي و الا التبريد ممتاز ويمدحون الصرفية و الراحه و العزم.
positive,السيارة ممتازة اخوي معي موديل 2015 ما شاء الله فخامة راحه رساوة وما كلفتني شي للان الا السيرفس العادي كل 10000 كيلو انصح فيها بشده.
positive,بصراحه لو فيه فخر لشركة شفروليه تفتخر بهاذا الموديل من الكابرس صراحه ابداع من ناحية المنظر و الشكل الداخلي و الخارجي وكان فيه عزم جنان و المكيف كان ثلج من جد من سيارتنا الحين اخر موديل.
neutral,"أكثر سيارة إشتهرت بأعطال الكهرب ومشاكلها, لكن يبقى موتر وحش له طابع رياضي بحت."
neutral,معي واحد من 3 سنوات، ما شاء الله جبار ولكن كل فترة أحتاج أسوي له صيانة وشوية ترهيمات زي المراوح و الانوار وغيرها.
positive,الشفر من افضل السيارات بالعالم و لا قد تعطل أي قير و لا مشاكل كهرباء.
neutral,الديزل دائما يعطيك عزم لكن ما في تسارع.
negative,بالنسبة للبرادو 4 سلندر بنزين انا مجربه ضعيف جداً وبعته الي كان معي مديل 2013 صراحه ما يصلح ابد الا داخل المدينه اذا جاك طلوع بدل القير وتحن المكينة وتعاني معه واذا حملته عفش وعايله تكره نفسك صراحه ضعيف جداً الديزل ماجربته لاكن البنزين 4 سلندر ما انصحك ابد.
neutral,التورس قد سقتها ما شاء الله تبارك الرحمن مره روعة من جميع النواحي بس عيبها الوحيد من الداخل ضيقة.
negative,كنت باخذها بس الوكيل سيء تابع مواضيعي وانت تعرف ليش.
negative,"النيسان قيره فيه علة وبشكل عام النيسان غير منتشر يخافون من أعطال القير و الهربدة وكيل سيء, البيع ما تحصل من يقول كم السوم."
positive,الفورشينر انا انصحك فية بقوة سيارة مرتفعة ويخدمك على عافية مدة طويلة.
neutral,الفورتشنر خدوم وشكله ممتاز بس ارتفاعه خطير اذا شفته يمشي قدامي أحسه بينقلب في اي لحظة.
negative,سبب التنازل عن الكامري 2018 هي الدعايات الي سبقته عن اقتصاد الوقود وطلعت نصب في نصب.
negative,أكلو مقلب محترم في معدل صرفية الوقود.
negative,مشاكل الكامري 2018 الي جتنا بالوكالة كلهم يتشكون من الحوامي الي هو مغطي بطن الموتر بالكامل زي السوناتا فيه قربعة مع الشوارع المتكسره ويغيرونها بكلبسات جديدة.
negative,سبب التنازل القسط عالي.
positive,السيارة أشوفها جميلة جدا وقفزة  نوعية.
negative,اذا شغل المكيف على الدرجة الاخيره يسمع من داخل الطبلون صوت طقطقة.
negative,اساسا مكيف الفورد ما يبرد مره.
neutral,تويوتا طيبة لكن أسعارها في العلالي.
negative,فورتشنر اعرف انها تصرف بنزين الله يسعدك.
negative,اغلب الي عندهم باجيرو يشتكون من صرفية البانزين وغلاء قطع الغيار.
positive,سيارات اليوكن و التاهو صرفيتها معقولة مقارنة بأحجامها وأوزانها.
neutral,باجيرو ممتاز وعند رحيمي مثله لكن فعلا يصرف بنزين.
positive,أرشح لك نيسان اكستريل اقتصادية مره.
positive,انت تحب الفخامة اليوكن الشكل الجديد كلمة دلع قليلة بحقه.
neutral,استهلاك البنزين عالي و التانكي صغير لا تدور الاقتصاد ابد بالباجيرو من ناحية الجوده ممتاز ولكن قطعه غالية ولكن كسعر أشوفه ممتاز.
negative,نصيحة لك ابتعد قدر الامكان عن الباجيرو وغير تفكيرك لسيارة افضل وكيل سيء جدا وأسعاره نار و السيارة غير اقتصادية في البنزين و الخليجي لا يشمله ضمان الوكيل غير القربعة و الأصوات هذا رايي من واقع تجربة.
negative,الرأي تصرف النظر عنه بسبب صرف البنزين عالي جدا وقطع غياره جدا مرتفعة.
positive,فيه خيار ممتاز جدا كيا موهافي ممتاز جدا قوة ووسع وراحه لا بأس بها.
neutral,الباجيروا سيارة جيب قوية وجبارة و لا يمكن أن تقارن بها أي سيارة كوري من ناحية البر و المرتفعات انا أتفق مع بعض الاخوان يعيب السيارة صرف البنزين وارتفاع سعر قطع الغيار.
neutral,"هي سيارة ما عليها كلام بس قطع الغيار غالية وتصرف بنزين مع ان محركها 6 سلندر, حجم مكينتها كبيرة 3800 بس عزم ممتاز جدا."
neutral,سيارة عملية وخدومة وقوية في البر عيوبها قساوة السيارة استهلاك البنزين عزم ضعيف.
negative,السيارة يعيبها الصرفية اما الحرارة فهذي بكل الجيوب.
neutral,"انا معايا باجيرو, و السيارة تخدم معاك مو خمس سنوات بل 20 سنة بدون مبالغة, المشكلة الوحيدة هي صرف البنزين, وصغر التانكي, وقريبا غلاء البنزين مره أخرى."
negative,في موتر سوح مره ما يستاهل أكثر من 70000 ما في مواصفات وعزمه أبو كلب.
negative,انا معي و الحمد لله لا يوجد أعطال موتر صبور الى ابعد حد عزم جدا ممتاز رساوة ممتازة بالخط.
neutral,"انا معي من 3 سنوات الموتر يكد زي الحمار و انتم بكرامه ما يقول شي وقطع الغيار رخيصة و لا تسمع كلام اي احد يقول غالي ممكن فقط الاكسسوارات الخارجية غير الميكانيكية غالية في الوكالة و البديل موجود في السوق أرخص من الوكالة ومن مختلف الصناعات و الدرجات وعموما هو مايعرف طريق الصناعية الا لتغيير الزيت, عيبه القساوة وعدم وجود رفاهية."
positive,نفس الشي انا معي من اربع سنوات اكده كد البعارين يوميا بالبر وكل جمعه القصيم الرياض فيه قساوة يمكن تقليلةا بكفرات لينه وهواء قليل و البنزين خف الدعسة شوي.
neutral,انا معي موديل 2016 مكينة 3800 شاريه جديد الموتر حمار مكده مشكلته استهلاك البنزين بنسبه بسيطة اما قطع غياره متوفرة ويركب عليه قطع اف جي.
positive,في البر قوي حيل خفيف وحلو استخدامه.
neutral,فيه عيب بسيط وهو عزل الأصوات بالأرضية جيد او جيد جدا و القساوة أول ما تستخدمة بعدها يلين معاك.
negative,الددسن ضيقة وشكل قديم وعزم متواضع.
positive,مع نسيبي حول السنتين ما شاء الله الكريم ما يشتكي من شي ابد وجربته انا شخصياً صراحهً انصدمت من قيادته ما شاء الله ثقيل وفي يدك يعني مع احترامي أطلق من ذا الكراتين اللي تسمى جيوب.
negative,يمكن من عيوبه صرف البنزين مع اني ما قد تناقشت مع نسيبي حول صرفيته بس اذكر انه يقول يعبي كل ثلاث أيام او اربع أيام شي زي كذا يعني استهلاكه عالي شوي.
neutral,"سيارة عملية من الدرجة الأولى اقتصادية عزل قوي رساوة ممتازة, عيوبها الكراسي قاسية ومتعبة بالسفر."
neutral,سيارة قوية اتوقع قطعها شوي غالي.
negative,قليل انتشارها وقطع الغيار فقط الوكالة او برا بسعر عالي.
negative,تجميع صيني ماهي مرغوبة.
positive,"الاكورد موتر ما يختلف عليه اثنين, موتر كد و مد."
neutral,كان عندي 2008 على يدي من الوكالة رساوة وتتحمل عيوبها علبة الدركسون تخرب بإستمرار وهذا أسوأ شي فيها المكيف اذا مشيت خط طويل يصير الدفع ضعيف غير كذا السيارة جودتها حلوة.
positive,كيا كارنفال سعر وسيعة قوية مريحة راسية.
positive,أشوف انوفا منتشرة وجميلة.
positive,الهوندا شكلها جميل وحجمها كبير.
positive,انوفا تصبر وتكد.
positive,تاخذ هوندا اوديسي عملية وصبورة.
positive,الاينوفا وسيعة وحقت مكده.
neutral,البريفيا أوسع وأقوى واريح بكثير من الانوفا و لايوجد مقارنة بس عيبها كثرة التكنلوجيا فيها وغير مرغوبة.
positive,الانوفا اغلب قطعها مطابقة للهايلكس وتمسك سعرها.
negative,البريفيا قطعها غالية ومبيعاتها قليل وسعرها يطيح بالأرض.
negative,افتح كبوت البريفيا لتعرف كمية التعقيد و الصعوبة بها كل شيء بها محشور جدا تغيير البواجي صعب وعند حصول تهريب بماء الرديتر مثلا يصعب حتى اكتشافه عند فتح الكبوت لا ترى سوى ربع المكينة العلوي فكيف تعمل لها صيانة.
negative,البريفيا شكلها معقد.
positive,الانوفا أكثر عملية نفس محركات الهايلوكس.
positive,البريفيا اريح بالسفر ووسيعة واقتصادية بالبنزين.
positive,عند البيع مرغوبة.
negative,غير مريحة بالسفر.
negative,"تصرف بنزين أكثر, الصف الثالث ضيقة غير وسيعة."
negative,الافانزا لو ركب فيها 5 اشخاص مات عزمها حجم كبير على مكينة صغيرة 1500 سي سي اضافه الى الأمان بها ضعيف لو حصل حادث من الخلف على سرعة 60 تضرر الركاب المقعد الأخير.
negative,الانوفا مشكلتها ضيقة وما في مكان للشنط وغير مريحة في الخط ما فيه رساوة.
neutral,صراحه الانوفا اللي مخليها تمشي انها مثل محركات الهايلكس يعني ما في خرابات لكن من ناحية رساوة وراحه وسعة فتعبانة من وجهة نظري.
positive,البريفيا شكل جميل ووسع وراحه.
negative,الاتش وان يكسر الظهر وشكله قبيح جهم.
neutral,بالنسبه لي أرشح الهوندا اوديسي صحيح قطعها غالية لكن ما تخرب ودليل جودتها شف الموديلات القديمة للحين ماليه الشوارع ومريحة ووسيعة وشكلها جميل جداً جديدة غالية.
neutral,الهوندا افضل سيارة في هذي الفئه بس قطعها تخوف.
neutral,صراحه طيبة من كل النواحي لكن يعيبها سعرها.
positive,سيارة جميلة كدوامات وبالمدينة صرفية البنزين حلوة وفيها ميزة ECO لتوفير الوقود قطع غيار رخيصة وعادية جدا.
negative,قير CVT سمعت كثير يشتكون منه.
positive,تاخد الكرو لا الشكل القديم أشوفها خيار ممتاز اريح ومكيفها افضل.
positive,2012 الدفع الأولى اعتمادية وقوية ما تطلب كثير شغل و امشي.
negative,رأيي باليارس انها الأقل عزم و الأعلى سعر بفئتها.
neutral,عن نفسي لو اني بمكانك اكيد باخذ الهايلكس تكرف وتتحمل وعزمها طيب بالبر اذا قير عادي وقطعها موجوده بكل مكان عشان ما تبتلش اخترتها لك لان استخدامك راح يكون بر اما خط ما تنفع الهلي.
neutral,بخصوص الهايلكس الدبل موتر منتشر ويمسك سعره لكن فيه بعض العيوب أول شي ثقل السيارة على المكينة الضعيفة ثاني شي صرفية البنزين العالية ثالث شيء دبلها ما هو ذاك الزود ضعيف واذا غرزت ونتلتها على طول يحترق الكلتش و الموتر جيد لكن ذكرنا عيوبه عشان تكون على بينه.
negative,راح تطفش منها عزمها ضعيف جدآ.
negative,يبقى عيبه غير قابل للتصليح وقت الخراب فقط تستبدله.
positive,انا أشوف السوزوكي افضل قطع غيار رخيصة ويتحمل الكرف ويمسك سعره عند البيع.
positive,الديهاتسو كانت معي وحدة حمارة مكده ما شاء الله وعملية وقطعها خفيفة على الجيب.
positive,الرينجر فيه نوع منه ديزل 5 سلندر دبل عزم ورساوة ومواصفات جبارة انا مجربه في خط وفي بر سيارة ممتازة ولها الى الان مع اخي سنة ونص ما اشتكت من شي.
positive,أسعار السيارات مناسبة.
positive,ما شاء الله تبارك الله وسيع ومريح جداً ما تحس بالخط و لا غيره.
negative,الموديلات القديمة أكثرها خرابات وأصوات وقليل تحصل نظيف.
negative,صراحه من تجربتي لها أشوف عزمها بارد جداً ونظام التوفير مزعج ما ناسبني.
neutral,عندك المقاعد مريحة وجلستها اخر حلاوة بس مطب السيارة قاسي شي مقرف صراحه.
positive,عزل الصوت رهيب بالخطوط وصرفية البنزين ممتازة أشوفها و المكيف ثلج. 
positive,الالنترا مكينة أقوى وأوسع.
negative,يالربع عندي التورس 10 رباعي بعد ما احمي الموتر الصباح و امشي يطلع صوت إحتكاك تقريبا من عند الكفر اليسار امامي ويزيد بقوة اذا لفيت يسار ويختفي اذا لفيت يمين احيانا تصاحبها طقطقة تحت رجولي وانتوا بالكرامه طبعا صوت عالي ومزعج.
positive,انصحك بالكامري تكرف وما تطلب شي وقريب لي معه كامري يوميا أكثر من 200 كيلو وما شاء الله مع ان الخط كله مطبات وحفر وطرق جبلية بس السيارة تتحمل.
negative,السيارة عيوبها كالتالي أصوات في ديكورات السيارة مزعجة اذا كان الطريق ما هو مستوي مره و النور فيها جدا تعبان بحكم اني مسكت عليها خطوط كثير وركبت زينون وغيرت اسطب كامل بعدسه صافيه وطلعت بعدها مشكلة بكهرب السيارة ان نور الزينون يرمش مع الاشارات و الوكالة يقولون ما لنا دخل فيها.
neutral,الاكورد 2017 صرفيتها للبنزين فوق الممتاز خصوصاً مع القير الـ CVT يعيبها ان مراتبها قاسية وغير مريحة.
negative,غالي سعرها على مواصفاتها وعمليتها.
negative,قطع البدي جدا غالية.
negative,دقة القير مريبة كل اللي بالسيارة يحسون فيها.
negative,السيارة معقدة بشكل عجيب مثلا احترق النور الامامي عندك لازم تفك الصدام كامل عشان تغير اللمبة المحروقة. 
positive,رساوة السيارة و الحافظ الله على سرعات عالية جدا ممتازة واتحدى اي سيارة بسعرها تنافسها. 
neutral,جوده المواد الداخلية جيدة ما قلت انها ممتازة بسبب الديكورات و الطقطقة من البلاستك.
positive,الشكل روعة و الداخلية جميلة.
negative,انا ضد السي في تي بالاكسنت فاشل لان العزم ضعيف تضطر انك تحشر الموتر.
negative,الكامري اذا نفس الموديلات السابقة فهناك تنقيص في زيت المكينة  فتصير تعبي بنزين و زيت مكينة.
negative,السيارة انتشارها ضعيف ونادر تلقاها وهذا يترتب عليه أن أغلب قطعها ما تتوفر إلا في الوكالة.
negative,مكيف تبريده تعبان ما يتقارن بالجموس.
negative,قيره يخبط ما هو حق كرف.
neutral,مره قاسي لكن مراتبه مريحة جدا.
positive,عضلاته تعمر ما تخرب بسرعة سواقته ممتعة.
positive,الاكاديا كروس أوفر اريح و افضل صرفية.
positive,تصميم عصري وجديد ومحرك قوي جديد نشيط واقتصادي ومواصفات افضل وطبعا باعتمادية تويوتا المعهوده في كل سياراتها.
negative,القير CVT غير جيد في الخطوط ممكن يحتر أو يصير فيه مشاكل.
positive,لا تخاف نهائياً توكل على الله، القير ممتاز جداً وخاصة في الخطوط وموفر جدا للبنزين وهو المطلوب الآن.
negative,انا مجرب سنترا 2013 4 سلندر ما تصلح أبدا حنه المكينة مزعجة واذا دعست بنزين يرتفع RPM الى 4 وبعدين ينزل ويطيح عزم السيارة ويرجع يرتفع و اللي يركب معك يقول سواقتك غشيمة.
negative,القير هذا سيء بسيارات نيسان.
positive,انصحك بالكورو لا لقوة وكيلها وتوفر قطع الغيار.
positive,الكورو لا و الله سيارة قوية وتستاهل وتصبر واقتصادية في البنزين.
negative,فيه خلل وعيب خطير في الوسائد الهوائية بتلك السيارات.
negative,الاكورد مشاكلها واجد وقطع غيارها ما هي متوفرة.
negative,صرت لما امسك فرامل تطلع أنواع الأصوات صفير و الحين زادت الأصوات وصار صوت مزعج ما اعرف اوصفه مدري من ايش.
negative,الاكاديا أشوفه غير ناجح و لا هو منتشر وحساس.
negative,الاكاديا معروف خراباته كثير.
positive,"سيارة لها معي أكثر من 5 سنوات ما صلحت فيها الا البخاخات من يوم شريتها مستخدمة,عزمها جبار وراسية وصرفيتها ممتازة."
